Survey ResponseID,privacy_level,n_recs,score_topk,score_out,gap_score,delta_s1_needed,delta_s2_needed,delta_s5_needed,s1_out,s1_topk,factible_s1,dificultad
R_3PAyJj7mQvMzMco,No_privada,20,0.4223452029712453,0.42229863401202405,4.656895922122706e-05,0.00011642239805306764,0.00018627583688490823,0.0004656895922122706,,,True,Muy fácil (Δ≤0.05)
R_3PF5obiVCGW1AU1,Privada_sensible,20,0.8706946795337686,0.8134710541983626,0.057223625335405925,0.1430590633385148,0.2288945013416237,0.5722362533540593,,,True,Fácil (0.05-0.15)
R_3PTW4l8uG9RR8ea,No_privada,15,0.4734315402200252,0.4597369188017658,0.01369462141825939,0.034236553545648474,0.05477848567303756,0.1369462141825939,,,True,Muy fácil (Δ≤0.05)
R_3PUi8o2if0JqKfl,Privada_sensible,16,0.2858215609480739,0.28001069121298094,0.005810869735092983,0.014527174337732457,0.02324347894037193,0.05810869735092983,,,True,Muy fácil (Δ≤0.05)
R_3PZvezr4ITRkiKV,No_privada,20,0.5784788373498564,0.569363974489338,0.009114862860518436,0.02278715715129609,0.03645945144207374,0.09114862860518436,,,True,Muy fácil (Δ≤0.05)
R_3PaGuwKhYPfHa15,Privada_moderada,16,0.5379824744316067,0.4971067871767726,0.04087568725483415,0.10218921813708537,0.1635027490193366,0.4087568725483415,,,True,Fácil (0.05-0.15)
R_3Pb3ZhTNEh2L1XI,Privada_sensible,6,0.13150421234170334,0.12010764341185637,0.011396568929846973,0.028491422324617433,0.04558627571938789,0.11396568929846973,,,True,Muy fácil (Δ≤0.05)
R_3PbL63xQilAzpWi,Privada_sensible,20,0.48735703749661996,0.48675934304625745,0.000597694450362507,0.0014942361259062675,0.002390777801450028,0.00597694450362507,,,True,Muy fácil (Δ≤0.05)
R_3PcameSHVD10BZP,Privada_sensible,20,0.5140127212611378,0.46377989547781695,0.05023282578332089,0.12558206445830222,0.20093130313328356,0.5023282578332089,,,True,Fácil (0.05-0.15)
R_3PjHFe8fwwlXvCE,Privada_moderada,20,0.2506434000199906,0.2506284676972337,1.4932322756899818e-05,3.7330806892249546e-05,5.9729291027599274e-05,0.00014932322756899818,,,True,Muy fácil (Δ≤0.05)
R_3Pp1HTLxoglta9u,Privada_sensible,10,0.41532047344940487,0.331075471397467,0.08424500205193786,0.21061250512984464,0.3369800082077514,0.8424500205193786,,,True,Moderado (0.15-0.30)
R_3PsOKkJiS6c6skE,Privada_sensible,7,0.31196073215515063,0.299029873067753,0.012930859087397606,0.032327147718494015,0.051723436349590424,0.12930859087397606,,,True,Muy fácil (Δ≤0.05)
R_3PsPF3COgBzQEMs,Privada_sensible,6,0.28710103559434635,0.2724313426203734,0.01466969297397297,0.036674232434932424,0.05867877189589188,0.1466969297397297,,,True,Muy fácil (Δ≤0.05)
R_3PvFbT0TE2uKxjr,Privada_sensible,7,0.5057659335305971,0.39977031983393635,0.10599561369666072,0.26498903424165177,0.42398245478664287,1.059956136966607,,,True,Moderado (0.15-0.30)
R_3Pwa112XZRRejbA,Privada_moderada,7,0.9382738547079776,0.9014163969138177,0.03685745779415994,0.09214364448539986,0.14742983117663977,0.3685745779415994,,,True,Fácil (0.05-0.15)
R_3PyGshEOTEw5XUj,Privada_sensible,20,0.35232435503827614,0.33048202021843476,0.02184233481984138,0.05460583704960345,0.08736933927936552,0.2184233481984138,,,True,Fácil (0.05-0.15)
R_3PzBYWWdOt4AHEK,Privada_sensible,15,0.5526838756821306,0.49933346102214204,0.053350414659988576,0.13337603664997144,0.2134016586399543,0.5335041465998858,,,True,Fácil (0.05-0.15)
